[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,156
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,157
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,158
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,159
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,160
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,161
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,162
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,163
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,164
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,165
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,166
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 4]), ('unroll_kw', False)],direct,None,167
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,168
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,169
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,170
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,171
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,172
